Batch_ID,Level1,Level2,Samples,Samples_ID,Replicates_ID,Replicates,Concentrations,Date,Run date
exp010821,Controls,Control,Control,Contro,Contro1_000u_exp010821_run180821_03,4,NA,2021-08-01,2021-08-18
exp010821,Controls,Control,Control,Contro,Contro2_000u_exp010821_run180821_04,4,NA,2021-08-01,2021-08-18
exp010821,Controls,Control,Control,Contro,Contro3_000u_exp010821_run180821_05,4,NA,2021-08-01,2021-08-18
exp010821,Controls,Control,Control,Contro,Contro4_000u_exp010821_run180821_06,4,NA,2021-08-01,2021-08-18
exp040821,Controls,Control,Control,Contro,Contro1_000u_exp040821_run180821_25,4,NA,2021-08-04,2021-08-18
exp040821,Controls,Control,Control,Contro,Contro2_000u_exp040821_run180821_26,4,NA,2021-08-04,2021-08-18
exp040821,Controls,Control,Control,Contro,Contro3_000u_exp040821_run180821_27,4,NA,2021-08-04,2021-08-18
exp040821,Controls,Control,Control,Contro,Contro4_000u_exp040821_run180821_28,4,NA,2021-08-04,2021-08-18
exp300821,Controls,Control,Control,Contro,Contro1_000u_exp300821_run290921_01,4,NA,2021-08-30,2021-09-29
exp300821,Controls,Control,Control,Contro,Contro2_000u_exp300821_run290921_02,4,NA,2021-08-30,2021-09-29
exp300821,Controls,Control,Control,Contro,Contro3_000u_exp300821_run290921_03,4,NA,2021-08-30,2021-09-29
exp300821,Controls,Control,Control,Contro,Contro4_000u_exp300821_run290921_04,4,NA,2021-08-30,2021-09-29
exp130921,Controls,Control,Control,Contro,Contro1_000u_exp130921_run290921_32,4,NA,2021-09-13,2021-09-29
exp130921,Controls,Control,Control,Contro,Contro2_000u_exp130921_run290921_33,4,NA,2021-09-13,2021-09-29
exp130921,Controls,Control,Control,Contro,Contro3_000u_exp130921_run290921_34,4,NA,2021-09-13,2021-09-29
exp130921,Controls,Control,Control,Contro,Contro4_000u_exp130921_run290921_35,4,NA,2021-09-13,2021-09-29
exp200921,Controls,Control,Control,Contro,Contro1_000u_exp200921_run111021_09,4,NA,2021-09-20,2021-10-11
exp200921,Controls,Control,Control,Contro,Contro2_000u_exp200921_run111021_10,4,NA,2021-09-20,2021-10-11
exp200921,Controls,Control,Control,Contro,Contro3_000u_exp200921_run111021_11,4,NA,2021-09-20,2021-10-11
exp200921,Controls,Control,Control,Contro,Contro4_000u_exp200921_run111021_12,4,NA,2021-09-20,2021-10-11
exp181021,Controls,Control,Control,Contro,Contro1_000u_exp181021_run101121_38,4,NA,2021-10-18,2021-11-10
exp181021,Controls,Control,Control,Contro,Contro2_000u_exp181021_run101121_39,4,NA,2021-10-18,2021-11-10
exp181021,Controls,Control,Control,Contro,Contro3_000u_exp181021_run101121_40,4,NA,2021-10-18,2021-11-10
exp181021,Controls,Control,Control,Contro,Contro4_000u_exp181021_run101121_41,4,NA,2021-10-18,2021-11-10
exp151121,Controls,Control,Control,Contro,Contro1_000u_exp151121_run071221_01,4,NA,2021-11-15,2021-12-07
exp151121,Controls,Control,Control,Contro,Contro2_000u_exp151121_run071221_02,4,NA,2021-11-15,2021-12-07
exp151121,Controls,Control,Control,Contro,Contro3_000u_exp151121_run071221_03,4,NA,2021-11-15,2021-12-07
exp151121,Controls,Control,Control,Contro,Contro4_000u_exp151121_run071221_04,4,NA,2021-11-15,2021-12-07
exp070222,Controls,Control,Control,Contro,Contro1_000u_exp070222_run010322_01,4,NA,2022-02-07,2022-03-01
exp070222,Controls,Control,Control,Contro,Contro2_000u_exp070222_run010322_02,4,NA,2022-02-07,2022-03-01
exp070222,Controls,Control,Control,Contro,Contro3_000u_exp070222_run010322_03,4,NA,2022-02-07,2022-03-01
exp070222,Controls,Control,Control,Contro,Contro4_000u_exp070222_run010322_04,4,NA,2022-02-07,2022-03-01
exp220322,Controls,Control,Control,Contro,Contro1_000u_exp220322_run060522_25,4,NA,2022-03-22,2022-05-06
exp220322,Controls,Control,Control,Contro,Contro2_000u_exp220322_run060522_26,4,NA,2022-03-22,2022-05-06
exp220322,Controls,Control,Control,Contro,Contro3_000u_exp220322_run060522_27,4,NA,2022-03-22,2022-05-06
exp220322,Controls,Control,Control,Contro,Contro4_000u_exp220322_run060522_28,4,NA,2022-03-22,2022-05-06
exp010821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer1_100n_exp010821_run180821_07,4,"0,1 uM",2021-08-01,2021-08-18
exp010821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer2_100n_exp010821_run180821_08,4,"0,1 uM",2021-08-01,2021-08-18
exp010821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer3_100n_exp010821_run180821_09,4,"0,1 uM",2021-08-01,2021-08-18
exp010821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer4_100n_exp010821_run180821_10,4,"0,1 uM",2021-08-01,2021-08-18
exp040821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer1_100n_exp040821_run180821_29,4,"0,1 uM",2021-08-04,2021-08-18
exp040821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer2_100n_exp040821_run180821_30,4,"0,1 uM",2021-08-04,2021-08-18
exp040821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer3_100n_exp040821_run180821_31,4,"0,1 uM",2021-08-04,2021-08-18
exp040821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer4_100n_exp040821_run180821_32,4,"0,1 uM",2021-08-04,2021-08-18
exp300821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer1_100n_exp300821_run290921_05,4,"0,1 uM",2021-08-30,2021-09-29
exp300821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer2_100n_exp300821_run290921_06,4,"0,1 uM",2021-08-30,2021-09-29
exp300821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer3_100n_exp300821_run290921_07,4,"0,1 uM",2021-08-30,2021-09-29
exp300821,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer4_100n_exp300821_run290921_08,4,"0,1 uM",2021-08-30,2021-09-29
exp070222,EGFR,3rd generation EGFR-TKIs,Lazertinib,Lazert,Lazert1_001u_exp070222_run010322_33,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Lazertinib,Lazert,Lazert2_001u_exp070222_run010322_34,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Lazertinib,Lazert,Lazert3_001u_exp070222_run010322_35,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Lazertinib,Lazert,Lazert4_001u_exp070222_run010322_36,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Rociletinib,Rocile,Rocile1_001u_exp070222_run010322_37,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Rociletinib,Rocile,Rocile2_001u_exp070222_run010322_38,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Rociletinib,Rocile,Rocile3_001u_exp070222_run010322_39,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Rociletinib,Rocile,Rocile4_001u_exp070222_run010322_40,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Mavelertinib,Mavele,Mavele1_001u_exp070222_run010322_41,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Mavelertinib,Mavele,Mavele2_001u_exp070222_run010322_42,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Mavelertinib,Mavele,Mavele3_001u_exp070222_run010322_43,4,1 µM,2022-02-07,2022-03-01
exp070222,EGFR,3rd generation EGFR-TKIs,Mavelertinib,Mavele,Mavele4_001u_exp070222_run010322_44,4,1 µM,2022-02-07,2022-03-01
exp300821,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti1_002u_exp300821_run290921_13,4,2 uM,2021-08-30,2021-09-29
exp300821,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti2_002u_exp300821_run290921_14,4,2 uM,2021-08-30,2021-09-29
exp300821,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti3_002u_exp300821_run290921_15,4,2 uM,2021-08-30,2021-09-29
exp300821,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti4_002u_exp300821_run290921_16,4,2 uM,2021-08-30,2021-09-29
exp151121,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti1_002u_exp151121_run071221_13,4,2 uM,2021-11-15,2021-12-07
exp151121,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti2_002u_exp151121_run071221_14,4,2 uM,2021-11-15,2021-12-07
exp151121,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti3_002u_exp151121_run071221_15,4,2 uM,2021-11-15,2021-12-07
exp151121,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti4_002u_exp151121_run071221_16,4,2 uM,2021-11-15,2021-12-07
exp151121,EGFR,PROTAC conjugated,Gefitinib-PROTAC-1,PROTAC,PROTAC1_010u_exp151121_run071221_17,4,10 uM,2021-11-15,2021-12-07
exp151121,EGFR,PROTAC conjugated,Gefitinib-PROTAC-1,PROTAC,PROTAC2_010u_exp151121_run071221_18,4,10 uM,2021-11-15,2021-12-07
exp151121,EGFR,PROTAC conjugated,Gefitinib-PROTAC-1,PROTAC,PROTAC3_010u_exp151121_run071221_19,4,10 uM,2021-11-15,2021-12-07
exp151121,EGFR,PROTAC conjugated,Gefitinib-PROTAC-1,PROTAC,PROTAC4_010u_exp151121_run071221_20,4,10 uM,2021-11-15,2021-12-07
exp300821,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1961_001u_exp300821_run290921_25,4,1 uM,2021-08-30,2021-09-29
exp300821,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1962_001u_exp300821_run290921_26,4,1 uM,2021-08-30,2021-09-29
exp300821,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1963_001u_exp300821_run290921_27,4,1 uM,2021-08-30,2021-09-29
exp300821,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1964_001u_exp300821_run290921_28,4,1 uM,2021-08-30,2021-09-29
