Batch_ID,Level1,Level2,Samples,Samples_ID,Replicates_ID,Replicates,Concentrations_ID,Date,Run date,Concentrations
exp010821,Controls,Control,Control,Contro,Contro1_000u_exp010821_run180821_03,4,000u,2021-08-01,2021-08-18,0
exp010821,Controls,Control,Control,Contro,Contro2_000u_exp010821_run180821_04,4,000u,2021-08-01,2021-08-18,0
exp010821,Controls,Control,Control,Contro,Contro3_000u_exp010821_run180821_05,4,000u,2021-08-01,2021-08-18,0
exp010821,Controls,Control,Control,Contro,Contro4_000u_exp010821_run180821_06,4,000u,2021-08-01,2021-08-18,0
exp040821,Controls,Control,Control,Contro,Contro1_000u_exp040821_run180821_25,4,000u,2021-08-04,2021-08-18,0
exp040821,Controls,Control,Control,Contro,Contro2_000u_exp040821_run180821_26,4,000u,2021-08-04,2021-08-18,0
exp040821,Controls,Control,Control,Contro,Contro3_000u_exp040821_run180821_27,4,000u,2021-08-04,2021-08-18,0
exp040821,Controls,Control,Control,Contro,Contro4_000u_exp040821_run180821_28,4,000u,2021-08-04,2021-08-18,0
exp300821,Controls,Control,Control,Contro,Contro1_000u_exp300821_run290921_01,4,000u,2021-08-30,2021-09-29,0
exp300821,Controls,Control,Control,Contro,Contro2_000u_exp300821_run290921_02,4,000u,2021-08-30,2021-09-29,0
exp300821,Controls,Control,Control,Contro,Contro3_000u_exp300821_run290921_03,4,000u,2021-08-30,2021-09-29,0
exp300821,Controls,Control,Control,Contro,Contro4_000u_exp300821_run290921_04,4,000u,2021-08-30,2021-09-29,0
exp130921,Controls,Control,Control,Contro,Contro1_000u_exp130921_run290921_32,4,000u,2021-09-13,2021-09-29,0
exp130921,Controls,Control,Control,Contro,Contro2_000u_exp130921_run290921_33,4,000u,2021-09-13,2021-09-29,0
exp130921,Controls,Control,Control,Contro,Contro3_000u_exp130921_run290921_34,4,000u,2021-09-13,2021-09-29,0
exp130921,Controls,Control,Control,Contro,Contro4_000u_exp130921_run290921_35,4,000u,2021-09-13,2021-09-29,0
exp200921,Controls,Control,Control,Contro,Contro1_000u_exp200921_run111021_09,4,000u,2021-09-20,2021-10-11,0
exp200921,Controls,Control,Control,Contro,Contro2_000u_exp200921_run111021_10,4,000u,2021-09-20,2021-10-11,0
exp200921,Controls,Control,Control,Contro,Contro3_000u_exp200921_run111021_11,4,000u,2021-09-20,2021-10-11,0
exp200921,Controls,Control,Control,Contro,Contro4_000u_exp200921_run111021_12,4,000u,2021-09-20,2021-10-11,0
exp181021,Controls,Control,Control,Contro,Contro1_000u_exp181021_run101121_38,4,000u,2021-10-18,2021-11-10,0
exp181021,Controls,Control,Control,Contro,Contro2_000u_exp181021_run101121_39,4,000u,2021-10-18,2021-11-10,0
exp181021,Controls,Control,Control,Contro,Contro3_000u_exp181021_run101121_40,4,000u,2021-10-18,2021-11-10,0
exp181021,Controls,Control,Control,Contro,Contro4_000u_exp181021_run101121_41,4,000u,2021-10-18,2021-11-10,0
exp151121,Controls,Control,Control,Contro,Contro1_000u_exp151121_run071221_01,4,000u,2021-11-15,2021-12-07,0
exp151121,Controls,Control,Control,Contro,Contro2_000u_exp151121_run071221_02,4,000u,2021-11-15,2021-12-07,0
exp151121,Controls,Control,Control,Contro,Contro3_000u_exp151121_run071221_03,4,000u,2021-11-15,2021-12-07,0
exp151121,Controls,Control,Control,Contro,Contro4_000u_exp151121_run071221_04,4,000u,2021-11-15,2021-12-07,0
exp271221,Controls,Control,Control,Contro,Contro1_000u_exp271221_run180122_17,4,000u,2021-12-27,2022-01-18,0
exp271221,Controls,Control,Control,Contro,Contro2_000u_exp271221_run180122_18,4,000u,2021-12-27,2022-01-18,0
exp271221,Controls,Control,Control,Contro,Contro3_000u_exp271221_run180122_19,4,000u,2021-12-27,2022-01-18,0
exp271221,Controls,Control,Control,Contro,Contro4_000u_exp271221_run180122_20,4,000u,2021-12-27,2022-01-18,0
exp070222,Controls,Control,Control,Contro,Contro1_000u_exp070222_run010322_01,4,000u,2022-02-07,2022-03-01,0
exp070222,Controls,Control,Control,Contro,Contro2_000u_exp070222_run010322_02,4,000u,2022-02-07,2022-03-01,0
exp070222,Controls,Control,Control,Contro,Contro3_000u_exp070222_run010322_03,4,000u,2022-02-07,2022-03-01,0
exp070222,Controls,Control,Control,Contro,Contro4_000u_exp070222_run010322_04,4,000u,2022-02-07,2022-03-01,0
exp220322,Controls,Control,Control,Contro,Contro1_000u_exp220322_run060522_25,4,000u,2022-03-22,2022-05-06,0
exp220322,Controls,Control,Control,Contro,Contro2_000u_exp220322_run060522_26,4,000u,2022-03-22,2022-05-06,0
exp220322,Controls,Control,Control,Contro,Contro3_000u_exp220322_run060522_27,4,000u,2022-03-22,2022-05-06,0
exp220322,Controls,Control,Control,Contro,Contro4_000u_exp220322_run060522_28,4,000u,2022-03-22,2022-05-06,0
exp130921,Controls,Control,Control,Contro,Contro1_000u_exp130921_run101121_20,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro2_000u_exp130921_run101121_21,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro3_000u_exp130921_run101121_22,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro4_000u_exp130921_run101121_23,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro5_000u_exp130921_run101121_24,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro6_000u_exp130921_run101121_25,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro7_000u_exp130921_run101121_26,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro8_000u_exp130921_run101121_27,8,000u,2021-09-13,2021-11-10,0
